"Seite","Bereich","Feld","Text"
"about","Hero","title","Willkommen bei Aufwind."
"about","Hero","text","Hier beginnt Ihre Reise zu mehr Leichtigkeit, Klarheit und neuer Lebensqualität."
"about","Einleitung","title","Wer ich bin"
"about","Einleitung","text1","Manchmal geraten wir im Leben an einen Punkt, an dem alles zu viel wird, Entscheidungen schwerfallen oder Krisen den Blick auf die eigenen Stärken verdecken. Genau dort müssen Sie nicht allein hindurch."
"about","Einleitung","text2","Ich begleite Menschen mit Wertschätzung, Offenheit und einem Blick auf ihre individuellen Ressourcen. Gemeinsam schaffen wir Raum, Belastendes zu sortieren, neue Perspektiven zu entdecken und Wege zu finden, die zu Ihnen und Ihrer Lebenssituation passen."
"about","Einleitung","text3","Vertrauen, Empathie und Respekt bilden die Grundlage meiner Arbeit."
"about","Zielgruppe","title","Für wen ich da bin"
"about","Zielgruppe_Karte_1","title","👩 Frauen"
"about","Zielgruppe_Karte_1","text","Begleitung bei persönlichen Krisen, belastenden Lebensphasen und Entscheidungen."
"about","Zielgruppe_Karte_2","title","👨‍👩‍👧 Familien"
"about","Zielgruppe_Karte_2","text","Unterstützung bei familiären Veränderungen, Krisenzeiten und schulischen Herausforderungen bei schulischen Herausforderungen, Übergängen oder Schulwechsel"
"about","Zielgruppe_Karte_3","title","🎓 Kinder und Jugendliche"
"about","Zielgruppe_Karte_3","text","Beratung bei Lern- und Motivationsproblemen, Konflikten"
"about","Zielgruppe_Karte_4","title","💻 Online-Beratung"
"about","Zielgruppe_Karte_4","text","Flexibel, ortsunabhängig und vertraulich."
"about","Schule","title","Schulische Herausforderungen gemeinsam meistern"
"about","Schule","text1","Schule ist ein wichtiger Lebensbereich und kann Kinder, Jugendliche und Familien gleichzeitig vor große Herausforderungen stellen."
"about","Schule","text2","In der Beratung erhalten Familien einen geschützten Raum, um Belastungen zu besprechen, Zusammenhänge zu verstehen und neue Handlungsmöglichkeiten zu entdecken."
"about","Zitat","text","„Aufwind entsteht, wenn Menschen ihre eigenen Stärken wiederentdecken und den Mut finden, neue Wege zu gehen.“"
"about","Qualifikationen","title","Qualifikationen & Erfahrung"
"about","Qualifikationen_Ausbildung","title","🎓 Ausbildung"
"about","Qualifikationen_Ausbildung","1","Lehramtsstudium, Erste Staatsprüfung 2002, Kassel"
"about","Qualifikationen_Ausbildung","2","Zweite Staatsprüfung 2004, Frankfurt am Main"
"about","Qualifikationen_Ausbildung","3","Ausbildung zur psychologischen und systemischen Beraterin, Zertifikat 2022, Remscheid"
"about","Qualifikationen_Berufserfahrung","title","💼 Berufserfahrung"
"about","Qualifikationen_Berufserfahrung","1","Lehrerin an 5 verschiedenen Grundschulen in Frankfurt und Wiesbaden seit 2004"
"about","Qualifikationen_Berufserfahrung","2","Mentorin für Praktikanten und Referendare"
"about","Qualifikationen_Berufserfahrung","3","Ausbildungsbeauftragte für die Lehrerausbildung in Offenbach und Wiesbaden"
"about","Qualifikationen_Beratung","title","📜 Beraterin mit staatlicher Zulassung seit 2022"
"about","Qualifikationen_Beratung","1","Psychologische Beratung"
"about","Qualifikationen_Beratung","2","Systemische Beratung"
"about","CTA","title","Ich freue mich darauf, Sie ein Stück Ihres Weges zu begleiten."
"about","CTA","button","Kontakt aufnehmen"
