"Seite","Bereich","Feld","Text"
"faq","Hero","title","Häufig gestellte Fragen"
"faq","Hero","text","Hier finden Sie Antworten auf häufige Fragen rund um die Beratung und den Ablauf."
"faq","FAQ","title","Ihre Fragen - meine Antworten"
"faq","Category_1","title","Inhalt & Ansatz"
"faq","FAQ_1","question","Was ist psychologische und systemische Beratung?"
"faq","FAQ_1","answer","Psychologische und systemische Beratung bietet Raum, innezuhalten, neue Perspektiven zu gewinnen und individuelle Ressourcen zu entdecken. Dabei betrachten wir persönliche Themen immer auch im Zusammenhang mit Beziehungen und Lebenssituation."
"faq","FAQ_2","question","Für wen ist die Beratung geeignet?"
"faq","FAQ_2","answer","Die Beratung richtet sich an Menschen, die Unterstützung bei persönlichen Herausforderungen, Veränderungen, Konflikten oder belastenden Lebenssituationen wünschen."
"faq","FAQ_3","question","Was ist der Unterschied zu einer Psychotherapie?"
"faq","FAQ_3","answer","Beratung unterstützt bei aktuellen Anliegen, Entscheidungen und Veränderungsprozessen. Sie ersetzt keine Psychotherapie und ist nicht für die Behandlung psychischer Erkrankungen gedacht."
"faq","Category_2","title","Ablauf & Termine"
"faq","FAQ_4","question","Wie läuft ein Erstgespräch ab?"
"faq","FAQ_4","answer","Im Erstgespräch lernen wir uns kennen, besprechen Ihr Anliegen und klären, welche Form der Begleitung zu Ihnen passt. Sie entscheiden anschließend in Ruhe, ob Sie den Weg fortsetzen möchten."
"faq","FAQ_5","question","Wie lange dauert eine Sitzung und wie viele sind nötig?"
"faq","FAQ_5","answer","Eine Sitzung dauert je nach Angebot in der Regel zwischen 50 und 110 Minuten. Wie viele Gespräche sinnvoll sind, hängt von Ihrem Anliegen und Ihren Zielen ab."
"faq","FAQ_6","question","Wie kann ich einen Termin vereinbaren?"
"faq","FAQ_6","answer","Sie können direkt online einen Termin buchen oder mich bei Fragen über die Kontaktseite anschreiben."
"faq","Category_3","title","Format, Kosten & Vertraulichkeit"
"faq","FAQ_7","question","Findet die Beratung vor Ort oder online statt?"
"faq","FAQ_7","answer","Die Beratung ist persönlich in Wiesbaden oder flexibel online möglich. Gemeinsam finden wir das Format, das zu Ihrer Situation passt."
"faq","FAQ_8","question","Was kostet eine Beratung und übernimmt die Krankenkasse die Kosten?"
"faq","FAQ_8","answer","Die Beratung ist eine Selbstzahlerleistung. Die aktuellen Preise finden Sie bei den jeweiligen Angeboten. Eine Kostenübernahme durch die gesetzlichen Krankenkassen erfolgt in der Regel nicht."
"faq","FAQ_9","question","Werden meine Gespräche vertraulich behandelt?"
"faq","FAQ_9","answer","Ja. Vertraulichkeit ist eine wichtige Grundlage meiner Arbeit. Ihre persönlichen Angaben und Gespräche werden selbstverständlich vertraulich behandelt."
"faq","CTA","title","Ihre Frage ist nicht dabei?"
"faq","CTA","text","Ihre Frage war nicht dabei? Nehmen Sie gerne direkt Kontakt mit mir auf."
"faq","CTA","button","Jetzt Nachricht schreiben"
