"Seite","Bereich","Feld","Text"
"services","Hero","title","Beratung, die zu Ihrer Situation passt"
"services","Hero","text","Gemeinsam entwickeln wir neue Perspektiven, entdecken Ihre Ressourcen und finden Wege, die zu Ihnen und Ihrem Leben passen."
"services","Uebersicht","title","Meine Angebote"
"services","Uebersicht","intro","Wählen Sie das Angebot, das zu Ihrem Anliegen und Ihrer aktuellen Situation passt."
"services","Beratungsansatz","title","Mein Beratungsansatz"
"services","Beratungsansatz","intro","Ich unterstütze Sie dabei, Muster, Dynamiken und Wechselwirkungen sichtbar zu machen und neue Perspektiven zu entwickeln."
"services","Ansatz_1","title","Psychologische Beratung"
"services","Ansatz_1","text","Wir betrachten persönliche Belastungen, Gefühle und Herausforderungen. Gemeinsam entwickeln wir neue Sichtweisen und Handlungsmöglichkeiten."
"services","Form_1","title","Handlungsspielräume"
"services","Form_1","text","So entstehen Handlungsspielräume, die tragfähig sind und zu stimmigen nächsten Schritten führen."
"services","Ansatz_2","title","Systemische Beratung"
"services","Ansatz_2","text","Systemische Beratung betrachtet Situationen im Zusammenhang von Beziehungen, Rollen, Aufgaben und Rahmenbedingungen."
"services","Form_2","title","Online-Beratung"
"services","Form_2","text","Professionelle Begleitung ist auch online zeitlich und räumlich flexibel möglich – klar, konzentriert und ohne Abstriche bei Tiefe oder Qualität."
"services","Ablauf","title","So läuft eine Beratung ab"
"services","Schritt_1","title","Kontakt aufnehmen"
"services","Schritt_1","text","Sie schildern Ihr Anliegen und wir vereinbaren ein erstes Gespräch."
"services","Schritt_2","title","Erstgespräch"
"services","Schritt_2","text","Gemeinsam schauen wir auf Ihre Situation und mögliche nächste Schritte."
"services","Schritt_3","title","Gemeinsam weitergehen"
"services","Schritt_3","text","Wir entwickeln Lösungen, die zu Ihnen und Ihrer Lebenssituation passen."
"services","CTA","title","Sie möchten mehr erfahren?"
"services","CTA","button","Kontakt aufnehmen"
